PRM transmissivity,Reflected power,
7.977978e-01,2.626179e+00,
7.987988e-01,2.627081e+00,
7.997998e-01,2.627981e+00,
8.008008e-01,2.628881e+00,
8.018018e-01,2.629779e+00,
8.028028e-01,2.630676e+00,
8.038038e-01,2.631573e+00,
8.048048e-01,2.632468e+00,
8.058058e-01,2.633362e+00,
8.068068e-01,2.634255e+00,
8.078078e-01,2.635148e+00,
8.088088e-01,2.636039e+00,
8.098098e-01,2.636929e+00,
8.108108e-01,2.637818e+00,
8.118118e-01,2.638706e+00,
8.128128e-01,2.639593e+00,
8.138138e-01,2.640480e+00,
8.148148e-01,2.641365e+00,
8.158158e-01,2.642249e+00,
