"Frequency [Hz]" "ET-D-LF" "ET-D-HF" "Combined"
2.9117543 2.4810474E-023 3.4345239E-020 2.4810467E-023
2.9207104 2.4522588E-023 3.3588633E-020 2.4522581E-023
2.9296941 2.4238203E-023 3.2856269E-020 2.4238196E-023
2.9387054 2.3957267E-023 3.2147389E-020 2.3957261E-023
2.9477444 2.3679754E-023 3.1461562E-020 2.3679747E-023
2.9568113 2.3405611E-023 3.0798299E-020 2.3405604E-023
2.965906 2.3134791E-023 3.0156094E-020 2.3134784E-023
2.9750287 2.2867266E-023 2.953426E-020 2.2867259E-023
2.9841795 2.2602987E-023 2.8932535E-020 2.260298E-023
2.9933584 2.2341907E-023 2.8350613E-020 2.23419E-023
3.0025656 2.2084E-023 2.7787112E-020 2.2083993E-023
3.011801 2.182922E-023 2.7241371E-020 2.1829213E-023
3.0210649 2.1577521E-023 2.6713277E-020 2.1577514E-023
3.0303573 2.1328877E-023 2.6202694E-020 2.132887E-023
3.0396782 2.1083244E-023 2.5708357E-020 2.1083237E-023
3.0490278 2.0840578E-023 2.522958E-020 2.0840571E-023
3.0584062 2.0600854E-023 2.4766399E-020 2.0600847E-023
3.0678134 2.036403E-023 2.431883E-020 2.0364023E-023
3.0772496 2.0130063E-023 2.3885729E-020 2.0130056E-023
3.0867148 1.989893E-023 2.3466338E-020 1.9898923E-023
3.0962091 1.9670589E-023 2.3060836E-020 1.9670582E-023
3.1057326 1.9445E-023 2.2669384E-020 1.9444993E-023
3.1152853 1.9222139E-023 2.2290981E-020 1.9222132E-023
3.1248675 1.9001968E-023 2.1924726E-020 1.9001961E-023
3.1344792 1.8784448E-023 2.1570949E-020 1.878444E-023
3.1441204 1.8569555E-023 2.1229965E-020 1.8569547E-023
3.1537913 1.8357252E-023 2.0900924E-020 1.8357244E-023
3.1634919 1.8147501E-023 2.0582719E-020 1.8147494E-023
3.1732223 1.7940281E-023 2.0275844E-020 1.7940274E-023
3.1829827 1.7735555E-023 1.9980783E-020 1.7735549E-023
3.1927731 1.7533288E-023 1.9696848E-020 1.7533281E-023
3.2025936 1.7333458E-023 1.9422655E-020 1.7333451E-023
3.2124443 1.713603E-023 1.9158877E-020 1.7136024E-023
3.2223254 1.694097E-023 1.8906202E-020 1.6940963E-023
3.2322368 1.6748257E-023 1.8664126E-020 1.674825E-023
3.2421787 1.6557858E-023 1.843088E-020 1.6557851E-023
3.2521512 1.6369739E-023 1.8207346E-020 1.6369732E-023
3.2621543 1.6183881E-023 1.7994482E-020 1.6183874E-023
3.2721882 1.6000251E-023 1.7791999E-020 1.6000244E-023
3.282253 1.5818817E-023 1.7597581E-020 1.5818811E-023
3.2923488 1.5639561E-023 1.7412368E-020 1.5639554E-023
3.3024756 1.5462451E-023 1.7237693E-020 1.5462444E-023
